Time,Lap_Number,Engine_RPM,Engine_Torque_Nm,Speed_MS,Lat_Accel_G,Long_Accel_G,Pitch_Rad,Roll_Rad,CG_Height_m,Load_FL_N,Load_FR_N,Load_RL_N,Load_RR_N
1.687,1,0,0.0,0.0,0.07,0.125,0.977,0.0208,0.0,2,0,0,100
1.718,1,0,0.0,0.0,-0.014,-0.149,0.977,0.0209,0.0,-2,0,0,100
1.735,1,0,0.0,0.0,-0.029,0.133,0.977,0.0203,0.0,2,0,0,100
1.765,1,0,0.0,0.0,-0.019,0.174,0.977,0.0205,0.0,2,0,0,100
1.797,1,0,0.0,0.0,0.026,-0.158,0.977,0.0207,0.0,-2,0,0,100
1.828,1,0,0.0,0.0,0.016,-0.152,0.977,0.0211,0.0,-2,0,0,100
1.86,1,0,0.0,0.0,0.046,0.153,0.977,0.0202,0.0,2,0,0,100
1.89,1,0,0.0,0.01,-0.047,0.18,0.977,0.0202,0.0,2,0,0,100
1.907,1,0,0.0,0.01,-0.008,-0.137,0.977,0.0203,0.0,-2,0,0,100
1.938,1,0,0.0,0.01,0.18,0.161,0.977,0.0202,0.0,2,0,0,100
1.954,1,0,0.0,0.0,-0.213,-0.165,0.977,0.0209,0.0,-2,0,0,100
1.985,1,0,0.0,0.01,-0.14,0.161,0.977,0.0205,0.0,2,0,0,100
2.002,1,0,0.0,0.01,0.098,-0.129,0.977,0.0206,0.0,-2,0,0,100
2.034,1,0,0.0,0.0,-0.185,0.151,0.977,0.0183,0.0,2,0,0,100
2.05,1,0,0.0,0.0,0.182,-0.157,0.977,0.0188,0.0,-2,0,0,100
2.082,1,0,0.0,0.01,0.052,0.133,0.977,0.0197,0.0,2,0,0,100
2.114,1,0,0.0,0.01,0.01,0.143,0.977,0.0208,0.0,2,0,0,100
2.13,1,0,0.0,0.01,0.024,0.17,0.977,0.0211,0.0,2,0,0,100
2.16,1,0,0.0,0.01,-0.021,0.14,0.977,0.0196,0.0,2,0,0,100
2.191,1,0,0.0,0.0,0.025,0.106,0.977,0.0206,0.0,2,0,0,100
2.207,1,0,0.0,0.01,0.03,-0.196,0.977,0.0211,0.0,-2,0,0,100
2.238,1,0,0.0,0.0,-0.019,0.148,0.977,0.0202,0.0,2,0,0,100
2.268,1,0,0.0,0.0,0.066,0.148,0.977,0.0204,0.0,2,0,0,100
2.3,1,0,0.0,0.0,0.003,0.127,0.977,0.0212,0.0,2,0,0,100
2.33,1,0,0.0,0.01,-0.237,-0.14,0.977,0.0175,0.0,-2,0,0,100
2.347,1,0,0.0,0.01,0.214,0.115,0.977,0.0183,0.0,2,0,0,100
2.363,1,0,0.0,0.01,-0.1,-0.154,0.977,0.0188,0.0,-2,0,0,100
2.394,1,0,0.0,0.0,0.199,0.13,0.977,0.0198,0.0,2,0,0,100
2.41,1,0,0.0,0.0,-0.171,-0.125,0.977,0.021,0.0,-2,0,0,100
2.441,1,0,0.0,0.0,-0.061,0.15,0.977,0.0192,0.0,2,0,0,100
2.458,1,0,0.0,0.0,0.024,-0.127,0.977,0.0196,0.0,-2,0,0,100
2.474,1,0,0.0,0.0,0.004,0.13,0.977,0.0203,0.0,2,0,0,100
2.49,1,0,0.0,0.0,0.038,0.129,0.977,0.0204,0.0,2,0,0,100
2.521,1,0,0.0,0.0,-0.04,0.136,0.977,0.0205,0.0,2,0,0,100
2.552,1,0,0.0,0.01,0.098,-0.136,0.977,0.0202,0.0,-2,0,0,100
2.583,1,0,0.0,0.01,-0.044,-0.17,0.977,0.0209,0.0,-2,0,0,100
2.613,1,0,0.0,0.0,-0.034,-0.142,0.977,0.0211,0.0,-2,0,0,100
2.645,1,0,0.0,0.0,-0.027,-0.175,0.977,0.0209,0.0,-2,0,0,100
2.677,1,0,0.0,0.0,-0.049,0.152,0.977,0.0206,0.0,2,0,0,100
2.693,1,0,0.0,0.0,0.049,-0.138,0.977,0.0215,0.0,-2,0,0,100
2.709,1,0,0.0,0.0,0.022,-0.145,0.977,0.0207,0.0,-2,0,0,100
2.74,1,0,0.0,0.0,0.06,-0.157,0.977,0.0206,0.0,-2,0,0,100
2.771,1,0,0.0,0.0,-0.049,-0.147,0.977,0.0192,0.0,-2,0,0,100
