Time,Lap_Number,Engine_RPM,Engine_Torque_Nm,Speed_MS,Lat_Accel_G,Long_Accel_G,Pitch_Rad,Roll_Rad,CG_Height_m,Load_FL_N,Load_FR_N,Load_RL_N,Load_RR_N
0.0,1,0,0.0,0.0,-0.016,0.161,0.9761,0.0218,0.0,2,0,0,100
0.029,1,0,0.0,0.01,0.009,-0.124,0.9761,0.0223,0.0,-2,0,0,100
0.045,1,0,0.0,0.0,-0.023,-0.143,0.9761,0.0223,0.0,-2,0,0,100
0.075,1,0,0.0,0.0,-0.007,-0.16,0.9761,0.0231,0.0,-2,0,0,100
0.092,1,0,0.0,0.0,-0.003,0.136,0.9761,0.0224,0.0,2,0,0,100
0.108,1,0,0.0,0.01,-0.045,0.133,0.9761,0.0217,0.0,2,0,0,100
0.14,1,0,0.0,0.0,-0.034,0.178,0.9761,0.0225,0.0,2,0,0,100
0.156,1,0,0.0,0.01,-0.047,0.152,0.9761,0.0221,0.0,2,0,0,100
0.173,1,0,0.0,0.0,-0.008,-0.148,0.9761,0.0226,0.0,-2,0,0,100
0.203,1,0,0.0,0.0,-0.043,-0.144,0.9761,0.0221,0.0,-2,0,0,100
0.234,1,0,0.0,0.0,-0.03,0.126,0.9761,0.0227,0.0,2,0,0,100
0.266,1,0,0.0,0.0,0.037,0.15,0.9761,0.0225,0.0,2,0,0,100
0.298,1,0,0.0,0.0,0.03,-0.14,0.9761,0.0224,0.0,-2,0,0,100
0.329,1,0,0.0,0.0,-0.026,-0.135,0.9761,0.0226,0.0,-2,0,0,100
0.345,1,0,0.0,0.0,-0.026,-0.133,0.9761,0.0225,0.0,-2,0,0,100
0.376,1,0,0.0,0.0,0.022,-0.141,0.9761,0.0222,0.0,-2,0,0,100
0.407,1,0,0.0,0.0,0.087,-0.138,0.9761,0.0217,0.0,-2,0,0,100
0.424,1,0,0.0,0.0,-0.107,-0.124,0.9761,0.022,0.0,-2,0,0,100
0.455,1,0,0.0,0.0,0.033,-0.129,0.9761,0.022,0.0,-2,0,0,100
0.485,1,0,0.0,0.0,0.012,-0.142,0.9761,0.0222,0.0,-2,0,0,100
0.501,1,0,0.0,0.01,-0.068,-0.134,0.9761,0.022,0.0,-2,0,0,100
0.532,1,0,0.0,0.01,0.067,-0.126,0.9761,0.0226,0.0,-2,0,0,100
0.548,1,0,0.0,0.0,0.008,0.142,0.9761,0.0223,0.0,2,0,0,100
0.58,1,0,0.0,0.0,-0.013,-0.149,0.9761,0.0218,0.0,-2,0,0,100
0.596,1,0,0.0,0.0,-0.011,0.132,0.9761,0.0221,0.0,2,0,0,100
0.628,1,0,0.0,0.0,-0.002,-0.148,0.9761,0.0224,0.0,-2,0,0,100
0.658,1,0,0.0,0.0,-0.021,-0.143,0.9761,0.0219,0.0,-2,0,0,100
0.688,1,0,0.0,0.01,-0.021,-0.13,0.9761,0.0217,0.0,-2,0,0,100
0.719,1,0,0.0,0.01,-0.001,-0.124,0.9761,0.022,0.0,-2,0,0,100
0.75,1,0,0.0,0.01,-0.059,0.137,0.9761,0.0222,0.0,2,0,0,100
0.782,1,0,0.0,0.0,0.024,0.139,0.9761,0.0219,0.0,2,0,0,100
0.812,1,0,0.0,0.01,0.052,0.154,0.9761,0.0219,0.0,2,0,0,100
0.843,1,0,0.0,0.0,-0.01,0.139,0.9761,0.022,0.0,2,0,0,100
0.873,1,0,0.0,0.01,0.025,-0.135,0.9761,0.0218,0.0,-2,0,0,100
0.905,1,0,0.0,0.0,-0.018,-0.121,0.9761,0.0223,0.0,-2,0,0,100
