Time,RPM,Gear,Speed_KPH,Gas_Input,Lat_G,Long_G,Pitch,Roll,FL_Load,FR_Load,RL_Load,RR_Load,FL_Slip,FR_Slip,RL_Slip,RR_Slip
15.721,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
15.752,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
15.784,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
15.815,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
15.846,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
15.877,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
15.908,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
15.924,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
15.941,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
15.972,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
15.988,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.019,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.051,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.082,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.098,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.129,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.161,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.193,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.223,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.253,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.284,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.315,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.346,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.376,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.392,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.423,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.454,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.47,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.501,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.532,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.548,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.578,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.609,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.625,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.656,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.672,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.702,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.732,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.763,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.794,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.824,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.854,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.871,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.9,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.917,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.947,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
16.977,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.007,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.024,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.04,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.056,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.087,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.118,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.148,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.178,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.208,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.224,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.254,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.285,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.317,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.347,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.364,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.394,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.411,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.442,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.474,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.504,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.534,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.551,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.567,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.599,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.629,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.645,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.677,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.707,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.724,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.74,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.756,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.772,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.788,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.819,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.835,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.865,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.898,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.928,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.944,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.961,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
17.977,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
18.008,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
18.038,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
18.069,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
18.085,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
18.116,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
18.146,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
18.178,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
18.21,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
18.241,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
18.257,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
18.288,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
18.318,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
18.349,1142,1,0.1,0.02,0.045,-0.314,-0.0,-0.0,4960,4970,5001,4994,0.08,0.05,0.28,0.33
